-- nunca, non ... mai	jamais (sens nég.)
(a) la	là (direction)
Sante-Johan	Saint-Jean
santitá	sainteté
santuario	sanctuaire
sapate de ligne	sabot (chaussure)
sapon	savon
saponete	savonette (savon)
sarcastique	sarcastique
sarco	cercueil
sardin	sardine
Satan	Satan
satin	satin
satir	satire
satirique	satirique
satisfacion	satisfaction
satisfar	satisfaire
savar	savoir (v. et s.)
savar	science (gén.)
savar-vivar	savoir-vivre
saxofon	saxophone
scabrose	scabreux (grivois)
scala	échelle
scalera	escalier
scalie	écaille (huître, tortue)
scandal	scandale
scandalisar	scandaliser
scandalose	scandaleux
scandinav	scandinave
Scandinavia	Scandinavie
scarlatina	scarlatine
scatul	boîte
sclava	esclave
sclave	esclave
scocese	écossais
Scocia	Écosse
scola	école
scolari	scolaire
scolera	écolière
scolero	écolier
scope	but (fin)
scope	fin (but)
scope	objectif (mil., but)
scran	écran (cinéma)
scribar	écrire
scripte	écrit (s.)
scriptor	écrivain (auteur)
scriptur	écriture
scrupul	scrupule
scrupulose	scrupuleux
sculptur	sculpture
scuma	écume
se	elles (réfléchi)
se	eux (réfl.)
se	lui (réfléchi)
se	se
se	soi
sea	soit (interj. et conj.)
secal	seigle
secion	rayon (de magasin)
secion	section
secle	siècle
seconde	seconde (temps)
secretaria	secrétaire (pers.)
secretariato	secrétariat
secretario	secrétaire (pers.)
secrete	secret (a.)
secreto	secret (s., chose secrète)
secte	secte
secuante	suivant (a.)
secuar	suivre
secuence	séquence
secuence	suite (série)
secundari	secondaire
secunde	second
secur	certain
secur	sûr
securitá	sécurité
securitá	sûreté
secusar	hocher
secusar	secouer
secuse	secousse
sedar se	asseoir (s'asseoir)
sede	siège (lieu, résidence)
sedia	chaise
sedia	siège (meuble)
seducion	séduction
seductar	séduire
seductor	séducteur (s.)
seductora	séductrice (s.)
sega	scie
segar	scier
sei	sa (à elle)
sei	ses (à elle)
sei	sien (à elle)
sei	son, sa, ses (à elle)
sela	selle (siège)
Selce	Seltz
selecion	choix
selecion	sélection
selectar	choisir
selon	d'après
selon	selon
selon	suivant (prép.)
selon que	selon que
selon que	suivant que
semana	semaine
semanal	hebdomaire
semar	semer
semblance	semblant (s.)
semblar	paraître (sembler)
semblar	sembler
seme	graine
semel	semelle
semestre	semestre (temps)
semite	sémite
sempre	toujours
sen	scène
senario	scénario
senate	sénat
senil	sénile
senior	monsieur
senior	seigneur
seniora	madame
seniorina	demoiselle
seniorina	mademoiselle
sensacion	sensation
sensacional	sensationnel
sense	sens
sense tactil	tact (sens de toucher)
sense tactil	toucher (s., sens)
sensibilitá	sensibilité
sensible	sensible
sensual	sensuel
sentar	sentir
sentiero	sentier
sentimental	sentimental
sentimentalitá	sentimentalité
sentimente	sentiment
separacion	séparation
separar	séparer
separatemente	séparément
sepe	haie (clôture)
septante	septante
septante	soixante-dix
septante un	soixante-onze
septe	sept
septece	dix-sept
septembre	septembre
ser	être
ser calde	avoir chaud
ser fride	avoir froid
ser furiose	rager
ser necesari	falloir (être nécessaire)
ser pre da far algo	faillir faire qc
sera	soir
sera	soirée (soir)
serada	soirée (réunion, fête)
serar	étreindre (serrer)
serar	presser (serrer)
serar	serrer (presser, étreindre)
serbe	serbe
Serbia	Serbie
serenada	sérénade
sergente	sergent (mil.)
serie	série
seringa	seringue
seriose	sérieux (a.)
seriositá	sérieux (s.)
serpente	serpent
serum	sérum
serur	serrure
servanta	bonne (s.)
servante	valet
servar	servir
servar come	servir de
service	service
serviete	serviette
servitor	garçon (de café)
servitor	serveur
servitor	serviteur
servitora	serveuse
sesar	saisir
sesion	séance
seson	saison
seta	soie (étoffe)
sever	sévère
severitá	sévérité
sexante	soixante
sexe	six
sexece	seize
sexo	sexe
sexual	sexuel
sfer	sphère
si	aussi (si, tellement)
si	oui
si	que (si)
si	si (tous sens)
si ... come	si ... que
si ... que	quelque ... que
Siberia	Sibérie
sicar	essuyer (sécher)
sicar	sécher
sidante	assis
sidar	être assis
sience	science (les sciences)
sientifique	scientifique
sifilise	syphilis
siflar	siffler
sifle	sifflement
sifon	siphon
sigil	sceau
sigilar	sceller
signal	signal
signalar	signaler
signar	signer
signatur	signature
signe	marque (signe)
signe	signe
significacion	sens (signification)
significacion	signification
significar	signifier
silabe	syllabe
silence	silence
silenciose	silencieux (a.)
siluete	silhouette
simbol	symbole
simbolica	symbolique (s.)
simbolique	symbolique (a.)
simetría	symétrie
simfonía	symphonie
simie	singe
simil	pareil (a.)
simil	semblable (a.)
simpatía	sympathie
simpatique	sympathique
simpatisar	sympathiser
simple	simple (a.)
simplese	simplicité
simplificar	simplifier
simptom	symptôme
simular	simuler
sin	sans
sinagoga	synagogue
sincer	sincère
sinceritá	sincérité
sindicato	syndicat
singlotar	sangloter
singlote	sanglot
singular	singulier (s., gram.)
singulari	singulier (a.)
sinistre	gauche (a., opp à droit)
sino	gorge (sein)
sino	sein
sinon	sinon
sinonim	synonyme
sintaxe	syntaxe
sintese	synthèse
sintil	étincelle
sintilar	étinceler
sique	sec (a.)
Sire	Sire (Votre Majesté)
sistem	système
sistematique	systématique (a.)
site	soif
sitosto	tout à l'heure (après)
sitosto	tout de suite
sitosto	sur-le-champ
sitosto (adv.)	aussitôt
sitosto que	dès que
situacion	situation
situate	situé
slave	slave
smeralde	émeraude
snob	snob
snobe	snob
so	sous
sobre	sobre
sociable	sociable
social	social
socialisacion	socialisation
socialisar	socialiser
socialisme	socialisme
socialiste	socialiste
societá	société
socurar	secourir
socurse	secours
soda	soda
sofa	sofa
sofistique	sophistique (a.)
soinar	garder (soigner)
soinar	soigner
soine	garde (soins)
soine	soin
sojurnar	séjourner
sojurne	séjour
sol	seul
soldate	soldat
soldi	dimanche
sole	ne ... que
sole	soleil
solemne	solennel
solemnitá	solennité
solicitar	solliciter
solidari	solidaire
solidaritá	solidarité
solide	solide (a.)
solie	seuil
soliste	soliste
solitari	solitaire (a.)
solitario	solitaire (s., pers.)
solitude	solitude
solmente	ne...que
solmente	ne ... que
solmente	seulement
solo	ne...que
solo	solo (s.)
solucion	résolution (d'un problème)
solucion	résoudre (d'un problème)
solucion	solution
sombre	sombre (a.)
somnie	sommeil
son	son (s., qui sonne)
sonar	sonner
soniar	rêver (vi.)
soniar	songer (vi.)
sonie	rêve
sonie	songe
sonor	sonore
soprano	soprano (voix et pers.)
sordidar	salir
sordide	sale
sordidese	saleté
soridar	sourire (v. et s.)
sorora	soeur
sortada	issue (sortie)
sortada	sortie
sortar	sortir
sorte	genre (sorte)
sorte	sorte
sorto	sort
sotaza	soucoupe
soto	au-dessous de
soto	par-dessous
sovente	souvent
soveran	souverain
space	espace
space	place (espace)
spada	épée
sparniar	épargner
sparsar	répandre
spaventable	épouvantable
spaventable	formidable
spaventable	redoutable
spaventar	effrayer
spaventar	épouvanter
spavente	effroi
spavente	épouvante
special	spécial
specialisar	spécialiser
specialiste	spécialiste
specialitá	spécialité
specie	espèce
specie	genre (espèce)
specificar	spécifier
specimen	spécimen
speclar se	se mirer
specle	glace (miroir)
specle	miroir
spectacle	spectacle
spectator	spectateur
spectatora	spectatrice
spectre	spectre (fantôme)
spectro	spectre (phys.)
speculacion	spéculation
specular	spéculer
spese	épais
spice	épice
spicería	épicerie (commerce)
spina	épine (d'arbuste)
spinose	épineux
spion	espion
spionage	espionnage
spionar	espionner
spirite	esprit
spiritisme	spiritisme
spiritose	spirituel (qui a de l'esprit)
spiritual	spirituel (a.)
splendide	splendide
sponge	éponge
spontan	spontané
sporadique	sporadique
sporte	sport
sportiste	sportif (s.)
sportiv	sportif (a.)
sposa	épouser (se marier avec)
sposa	épouse
sposo	époux
spruzar	jaillir
spumante	mousseux (vin)
sputar	cracher
squelete	squelette
squema	schéma
squepticisme	scepticisme
squeptique	sceptique
squi	ski
squiar	faire du ski
squisar	esquisser
squise	esquisse
stabilisar	stabiliser
stabla	étable
stable	stable
stacion	gare (de chem. de fer)
stacion	station (lieu)
stacionar	stationner
stadie	stade
stadio	stade (de sport)
stagne	étang
stagno	étain
stampar	timbrer
stampe	timbre (instr., marque imprimée)
standarde	standard
standarte	étendard
standarte	pavillon (étendard)
star	être debout
state	état (condition, État)
States Uniate	États-Unis
statistica	statistique (s.)
statistique	statistique (a.)
statue	statue
statuete	statuette
statur	taille (stature)
stela	étoile
stela	vedette (théâtre)
stenografar	sténographier
stenografe	sténographe
stenografía	sténographie
steril	stérile
sterilisar	stériliser
sterilitá	stérilité
sternutar	éternuer
stil	style (litt., artist.)
stil	tige
stiliste	styliste
stilografe	stylographe
stimular	stimuler
stipular	stipuler
stofe	étoffe (tissu)
stoíque	stoïque
stomaque	estomac
stopar	arrêter
stopar	s'arrêter
stopar	stopper
store	store
strada	rue (voie)
stradela	ruelle
strange	étrange
stranger	étranger (a.)
stranger	étrangère (a.)
strategía	stratégie
strategique	stratégique
strete	étroit
streto	canal (détroit)
streto	détroit
stricnin	strychnine
stridar	grincer
strofe	strophe
struce	autruche
structur	structure
studianta	étudiante (s.)
studiante	étudiant (s.)
studiar	étudier
studie	étude
studio	atelier (d'artiste, film, radio)
studio	studio
stulte	bête (a.)
stulte	sot
stultese	bêtise
stultese	sottise
stupefacion	stupéfaction
stupefate	stupéfait
stupide	bête (a.)
stupide	stupide
stupiditá	stupidité
su	leur (se rapportant au sujet)
su	sa (a. poss., se rapp. au sujet)
su	ses (se rapportant au sujet)
su	sien (se rapp. au sujet)
su	sienne (se rapp. au sujet)
su	son, sa, ses (se rapp. au sujet)
subgectate	sujet (a.)
subgecte	sujet (s.)
subgectiv	subjectif
subisar	subir
subjugar	subjuguer
subliniar	souligner
submarin	sous-marin (a.)
submitar	soumettre
suboficero	sous-officier
subscribar	souscrire
subscripcion	souscription
substance	substance
substancial	substantiel
substantiv	substantif
substituar	substituer
substracion	soustraction
substractar	soustraire
subteran	souterrain
subtil	subtil
suburban	suburbain
suburbe	faubourg
sucar	sucer
sucedar	succéder
sucesar	réussir (vi.)
sucese	succès
sucesiv	successif
suciance	souci
suciar	soucier
suco	jus (de fruit, de viande)
sucrar	sucrer
sucre	sucre
sucumbar	succomber
sucursal	succursale
sudan	soudain
sudan	subit
sudanmente	tout à coup
sudar	suer
sude	sud
sudeste	sud-est
sudor	sueur
sudorose	couvert de sueur
sudoveste	sud-ouest
Suede	Suède
suedese	suédois
sufizante	suffisant (qui suffit)
sufizar	suffire
suflar	souffler
suflar le nase	se moucher
sufle	souffle
sufocar	étouffer
sufocar	suffoquer
sufrance	souffrance
sufrar	souffrir
sugestar	suggérer
sugestion	suggestion
sui	sa (à lui)
sui	ses (à lui)
sui	sien (à lui)
sui	son, sa, ses (à lui)
suicidar se	se suicider
suicidio	suicide (acte)
Suisia	Suisse
suisian	Suisse (de Suisse, a. et s.)
sultan	sultan
sultana	sultane
suma	somme (sf.)
sumar	sommer (math.)
sumite	sommet
suolo	sol (terre)
suolo	terrain (sol)
suolo	terre (sol)
supa	potage
supa	soupe
supar	souper (v.)
super	souper (s.)
superbe	superbe (a., imposant)
superficial	superficiel
superflue	superflu (a.)
superior	supérieur
superioritá	supériorité
supersticion	superstition
supersticiose	superstitieux
suple	souple
suplemente	supplément
suplese	souplesse
suplicar	supplier
suportable	supportable
suportar	souffrir (supporter)
suportar	soutenir (supporter)
suportar	supporter
suporte	support
suposar	supposer (présumer)
suposicion	supposition
supre	au-dessus de
supre	par-dessus
supresar	supprimer
supresar	supprimer
supresion	suppression
sur	sur (prép.)
surce	source
surcharjar	surcharger
surcilie	sourcil
surde	sourd (a.)
surde-mute	sourd-muet
surditá	surdité
surestimar	surestimer
surface	surface
surhuman	surhumain
surmenar	surmener
surmontar	surmonter
surnatural	surnaturel
surnome	surnom
surpasar	dépasser (surpasser)
surpasar	franchir (fig.)
surpasar	surpasser
surprisar	surprendre
surprise	surprise
sursaltar	sursauter
sursalte	sursaut
surtuto	surtout
surveliar	garder (surveiller)
surveliar	surveiller
survivar	survivre
suspectar	se douter de
suspectar	soupçonner
suspectar	suspecter
suspecte	suspect
suspecto	soupçon
suspecto	suspicion
suspectose	soupçonneux
suspendar	suspendre (prop.)
suspir	soupir
suspirar	soupirer
susten	soutien
sustenar	soutenir
susurar	susurrer
sutar	coudre
svelte	svelte
tabaco	tabac
tabel	table (liste)
tabel	tableau (liste)
tabla	tableau (à écrire, théâtre)
table	table (meuble)
table da scribar	bureau (meuble)
tablete	tablette (chocolat, etc.)
taburete	tabouret
taciar	taire
tacon	talon (chaussure)
tacte	tact
tactica	tactique (s.)
tactique	tactique (a.)
tacto	tact (sens du toucher)
tacto	toucher (s., sens)
talco	talc
talente	talent
taliar	couper (tailler)
taliar	tailler
taliator	tailleur (d'habits)
talie	taille (acte, ceinture)
talon	talon (pied et fig.)
tambur	tambour (instr.)
tampon	tampon
tamponar	boucher (v., fermer)
tamponar	bouchon (tampon)
tan ... come	aussi ... que
tango	tango
tanque	tank
tanque	tant que
tante	tant de
tante	tante
tantes	tant de
tanto	tant
tanto ... come	tant ... que
tanto plu come	d'autant plus que
tapar	taper
tape	tape (coup de la main)
tapete	tapis (de table)
tapete de table	nappe
tapeto	tapis (de parquet)
tapice	tapis (tenture)
tardar	tarder
tarde	tard
tardiv	tardif
tarife	tarif
tarte	tarte
tartete	gâteau
tartete	tartelette
tartin	tartine
tastonar	tâtonner
tauro	taureau
taverna	cabaret (taverne)
taxacion	taxation
taxar	taxer (imposer)
taxe	taxe
taxi	taxi
taximetre	taximètre
taza	tasse
te	te
te	thé
te	toi (accusatif)
te, a te	te (datif)
teatral	théâtral
teatre	théâtre
tecnica	technique (s.)
tecnique	technique (a.)
tecte	toit
tel	tel
tela	toile
telefon	téléphone
telefonar	téléphoner
telefoniste	téléphoniste
telegrafar	télégraphier
telegrafe	télégraphe
telegrafía	télégraphie
telegrafiste	télégraphiste
telegram	télégramme
telescope	lunette (astr.)
television	télévision
telmente	tellement
tema	thème
tempa	tempe
tempe	temps (état de l'atmosphère)
temperamente	tempérament (nature)
temperar	tempérer
temperatur	température
tempestar	tempêter
tempeste	orage
tempeste	tempête
tempestuose	orageux
temple	temple
tempo	temps (durée, mus., gram.)
temporano	de bonne heure
temporano	de bon matin
temporano	tôt (de bonne heure)
temporari	temporaire
tenace	tenace
tenar	tenir
tenda	tente
tendance	tendance
tendanciose	tendancieux
tendar	tendre (v.)
tendin	tendon
tendre	tendre (a.)
tendrese	tendresse
tenor	ténor
tension	tension
tentacion	tentation
tentar	tenter
tenue	mince (a.)
teología	théologie
teologique	théologique
teologue	théologien
teoría	théorie
teorique	théorique
teosofe	théosophe
teosofía	théosophie
tepide	tiède
tera	terre
terase	terrasse
terebentin	térébenthine
teren	terrain
terible	affreux
terible	formidable
terible	redoutable
terible	terrible
teritorio	territoire
terme	terme (gram., log.)
termin	terme (époque de paiment)
terminacion	terminaison
terminar	achever
terminar	terminer
terminología	terminologie
termometre	thermomètre
teror	effroi
teror	terreur
terorisar	terroriser
tese	thèse
testamente	testament
testimon	témoin
testimoniar	témoigner (vi.)
testimonie	témoignage
textar	tisser
textato	tissu (s.)
texte	légende (texte)
texte	texte
textil	textile (a.)
textur	texture
tifo	typhus
tifoide	typhoïde (febre)
tifon	typhone
tigana	tsigane
tigra	tigresse
tigre	tigre
timar	craindre
timar	redouter (vt.)
timbre	timbre (son)
timide	timide
timiditá	timidité
timor	crainte
tintar	teindre
tipe	type
tipique	typique
tira-tampon	tire-bouchon
tiran	tyran
tiranía	tyrannie
tiranique	tyrannique
tiranisar	tyranniser
tirar	tirer (aussi une arme)
tirator	tireur (d'arme à feu)
tirera	tiroir
tirete	tiret
Tirol	Tyrol
titilar	chatouiller
title	titre (honorifique, livre)
titular	intituler
toilete	toilette (action, costume)
tolerable	tolérable
tolerance	tolérance
tolerar	souffrir (supporter)
tolerar	tolérer
tomate	tomate
tombe	tombe
tombe	tombeau
ton	ton (s.)
tonar	tonner
tonique	tonique (a., gram., méd.)
tono	tonnerre
torche	torche
tordar	tordre
tore	tour (sf.)
toreador	toréador
torente	torrent
tormentar	tourmentar
tornado	tornade
torpede	torpille
torpedero	torpilleur
torsion	torsion
torto	tort
tortuga	tortue
tortur	torture
torturar	torturer
tosar	tousser
tose	toux
tostar	toaster
toste	toast
tosto	bientôt
tosto	tantôt (bientôt)
tosto	tôt (bientôt)
tosto	tout à l'heure (bientôt)
total	total
totalisator	totalisateur (s.)
totalitá	totalité
trace	trace
tractato	traité
tracte	trait (s.)
tracte de union	tiret (trait d'union)
tradicion	tradition
tradicional	traditionnel
tradimente	trahison
tradisar	trahir
traditor	traître (s.)
traditora	traîtresse (s.)
traducion	traduction
traductar	traduire (un écrit)
traductor	traducteur
traductora	traductrice
tragedía	tragédie
tragicomique	tragi-comique
tragique	tragique
tram	tramway (wagon)
tramvía	tramway
tranchar	couper (vt., complètement)
tranchar	trancher (vt.)
tranche	tranche (pain, viande)
tranchea	tranchée (mil.)
tranquil	tranquille
tranquilisar	rassurer (tranquilliser)
tranquilitá	tranquillité
transacion	transaction
transatlantique	transatlantique
transferar	transférer
transformacion	transformation
transformar	transformer
transfusar	transfuser
transfusion	transfusion
transgresar	transgresser
transitar	transiter
transmision	transmission
transparente	transparent
transpiracion	transpiration
transpirar	transpirer
transportar	transporter (aussi fig.)
transporte	transport (aussi fig.)
traquea	trachée
trata	traite (com.)
tratamente	traitement
tratar	traiter (aussi méd.)
travaliar	travailler
travaliator	travailleur (s.)
travalie	ouvrage (travail)
travalie	travail
travaliose	travailleur (a.)
traver	à travers
traversar	traverser (prop.)
travestar	travestir
trazar	tracer
trelia	grille (porte)
trelie	treillis
trema	tréma
tremblar	trembler
tremble	tremblement
tren	train (ch. de fer)
tren exprese	rapide (s., train)
trenar	traîner
trenel	traîneau
tresar	tressar
trese	natte (de cheveux)
trese	tresse
tresor	trésor
tresorera	trésorière
tresorero	trésorier
tri	trois
triangle	triangle (aussi mus.)
triante	trente
tribu	tribu
tribuna	tribune
tribunal	cour (tribunal, aussi)
tribunal	tribunal
trice	treize
trichar	tricher
tricolor	tricolore
tricotar	tricoter
tricote	tricot (tissu)
trieme	tiers
trifolie	trèfle (aussi cartes)
trilar	triller
trimestre	trimestre
trincar	trinquer
trinitá	trinité
trio	trio (aussi mus.)
trique	tri, tric (cartes)
triste	triste
tristese	tristesse
triumfe	atout
triumfe	triomphe
trivial	trivial
tro	trop (devant un a. ou adv.)
tro multe	trop de (a.)
tro multe	trop de (pron.)
tro multes	trop de (pron.)
tro multo	trop (adv., pron. neutre)
tro multo	de trop
trofeo	trophée
trombe	trombe
trompar	tromper
trompe	trompe (éléphant)
tron	trône
tronque	tronc (d'arbre)
tropezar	trébucher
tropical	tropical
tropico	tropique (s.)
trotar	trotter
trotoar	trottoir
trovar	trouver
tru	trou
truar	trouer
trublar	troubler
trublate	trouble (a.)
truble	trouble (s.)
trumpete	trompette (instr.)
trupe	troupe
trupel	troupeau
tu	toi
tu	tu
tube	canon (tube d'arme à feu)
tube	tube
tube	tuyau
tuberculose	tuberculose
tuchar	toucher (v.)
tui	ta (a. poss.)
tui	tes (pl. de ton)
tui	tien, tienne
tui	ton, ta, tes
tul	tulle
tulipan	tulipe (plante, fleur)
tumor	tumeur
tumulte	tumulte
tumultuose	tumultueux
tunel	tunnel
tur	tour (voyage, promenade)
turban	turban
turbin	turbine
turisme	tourisme
turiste	touriste
turnada	tournée
turnar	tourner
turne	tour (sm.)
turneo	tournoi
turque	turc
Turquía	Turquie
tute	tous, toutes (a.)
tute	tout (a.)
tutear	tutoyer
tutes	tous, toutes (pron.)
tuto	tout (pron., adv., s.)
tuto	tout à fait
u	où
u, a u	où (direction)
ubliance	oubli
ubliar	oublier
uisqui	whisky
ulcer	ulcère
ulme	orme
ultim	dernier
ultre	outre (prép. et adv.)
ulula	hibou
un	un
un	une
unaltres	l'un l'autre
unaltres	se (l'un l'autre)
unanim	unanime
unce	onze
undar	flotter (ondoyer)
undar	ondoyer
unde	lame (vague)
unde	onde
unde	vague (s.)
undulacion	ondulation
undular	onduler
ungle	ongle
ungle	sabot (d'animal)
uniar	unir
uniformar	uniformiser
uniforme	uniforme
union	union
unique	unique
unitá	unité
universal	universel (a.)
universe	univers
universitá	université
unte	onguent
uragan	ouragan
urgence	urgence
urgente	urgent
urin	urine
urinar	uriner
urinoar	pissoir
urinoar	urinoir
urna	urne
ursa	ourse (animal)
urse	ours (animal)
urtar	bousculer (heurter)
urtar	heurter
urtica	ortie
usa	employer (faire usage de)
usar	user de (vi.)
usina	usine
uso	emploi (action d'employer)
uso	usage (emploi)
usual	usuel
usurpar	usurper
utensil	outil
utensil	ustensile
util	utile
utilisar	utiliser
utilitá	utilité
utopía	utopie
uva	raisin
uvaspina	groseille à maquereau
uvrar	ouvrir
vaca	vache (animal)
vacance	vacance
vacilar	chanceler
vacilar	flotter (vaciller)
vacilar	vaciller
vacin	vaccin (s.)
vacinacion	vaccination
vacinar	vacciner
vacuar	vider (rendre vide)
vacue	creux (vide)
vacue	vide (a.)
vacuo	vide (s.)
vagar	errer
vagon	wagon
vagon de lites	wagon-lit
vagon de restaurante	wagon-restaurant
vague	vague (a.)
val	vallée
vala-nulo	vaurien
valar	valoir
valete	valet (de chambre, de pied, aux cartes)
valide	valable
valide	valide
validitá	validité
valise	valise
valor	valeur
valse	valse
van	vain
vanga	bêche
vanilie	vanille
vanitá	vanité
vanitose	vain (vaniteux)
vanitose	vaniteux
vantar se de	se vanter de
vapor	vapeur
vapor	vapeur (bateau)
var	être (verbe du passif)
vari	différents (plusieurs)
vari	divers (plusieurs)
variable	variable (a.)
variacion	variation
variar	varier
varicela	varicelle
variola	variole
vase	vaisseau
vase	vase (sm.)
vaselin	vaseline
vaste	vaste
vate	ouate
vegetacion	végétation
vegetarian	végétarien
vela	voile (sf.)
velar	voiler (couvrir d'un voile)
velete	voilette
veliada	veillée
veliar	veiller
velie	veille
velo	voile (sm.)
velute	velours
vena	veine
venada	venue (action)
venar	venir
vendar	vendre
vendator	vendeur
vendatora	vendeuse
vende	vente
vendi	vendredi
Venecia	Venise
venen	poison
venen	venin
venenose	venimeux
venerable	vénérable
veneracion	vénération
venerar	vénérer
venerian	vénérien
venjance	vengeance
venjar	venger
vente	vent
ventilacion	ventilation
ventilar	ventiler
ventre	ventre
ver	envers (prép.)
ver	sur (vers)
ver	véritable
ver	vers (prép.)
ver	vrai (a.)
veracitá	véracité
veranda	véranda
verbe	verbe (relig., gram.)
verdar	verdir
verdar	verdoyer
verde	vert
verdicte	arrêt (jugement)
verdicte	verdict
verdur	verdure
vergonia	honte
vergoniose	honteux
verificar	vérifier
veritá	vérité
veritá	vrai (s.)
verme	ver
vermente	vrai (adv.)
vermin	vermine
vermute	vermout, vermouth
verne	printemps
vernisage	vernissage
vernisar	vernir
vernisar	vernisser
versar	répandre (verser)
versar	verser
verse	vers (s.)
versificar	versifier
version	version
vertebral	vertébral
vertebrate	vertébré (a.)
vertebre	vertèbre
vertical	vertical (a.)
vertige	vertige
vespa	guêpe
vespre	vêpres (pl.)
vespres	vêpres (pl.)
vestar	habiller
vestar	vêtir
vestiario	vestiaire
vestibul	vestibule
vestimente	habit
vestimente	vêtement
veston	veston
veteran	vétéran
veterinario	vétérinaire (s.)
vetur	voiture (véhicule)
vexacion	vexation
vexante	fâcheux (a.)
vexar	fâcher (vexar)
vexar	vexer
via	chemin
via	route
via	via (en passant par)
via	voie
viage	voyage
viajante	voyageur (a.)
viajar	voyager
viajator	voyageur (s.)
viajatora	voyageuse (s.)
vibracion	vibration
vibrar	vibrer
vicie	vice
vicin	prochain (s., voisin)
vicin	voisin (a.)
vicin	voisine (a.)
vicin	voisin (s.)
vicina	voisine (s.)
vicinitá	voisinage
victim	victime
victor	vainqueur (s.)
victoria	victoire
victoriose	victorieux
vida ci	voici
vida la	voilà
vida lui ci	le voici
vida lui la	le voilà
vida!	tiens!
vidamo!	voyons!
vidar	apercevoir
vidar	voir
vide	vue
vidua	veuve (s.)
viduo	veuf (s.)
viel	âgé
viel	vieux, vieil
vielar	vieillir (vi)
vielese	vieillesse
Viena	Vienne
vigil	veille (v. de fête)
vigil	vigile
vigor	vigueur
vigorose	nerveux (vigoureux)
vigorose	vigoureux
vila	villa
vilage	village
vin	vin
vinagre	vinaigre
vincar	vaincre
vindemia	vendange
vinie	vigne (champ)
viola	violette (s.)
violacion	violation
violar	violer
violence	violence
violente	violent
violete	violet (a.)
violin	violon
violoncelo	violoncelle
violoniste	violoniste
viper	vipère
virgin	vierge
virgul	virgule
virgulete	guillemet
virtú	vertu
virtuose	vertueux
virtuositá	virtuosité
virtuoso	virtuose
visa	visa
visar	mirer (viser)
visar	viser
viscomte	vicomte
viscomtesa	vicomtesse
viscose	visqueux
visibilitá	visibilité
visible	visible
visiera	visière (de casquette)
vision	vision
visita	visite
visitar	fouiller (qn)
visitar	visiter
visitator	visite (pers.)
visitator	visiteur
visitatora	visiteuse
vita	vie
vital	vital
vitalitá	vitalité
vitamin	vitamine
vite	vigne (plante)
vitel	veau
viticultur	viticulture
vitre	verre
vitre de fenestre	vitre
vitrin	montre (vitrine)
vitrin	vitrine
viv	vif (a.)
viva	vivat
vivace	vif (plein de vivacité, aussi)
vivacitá	vivacité
vivante	vif (vivant)
vivante	vivant (a. et s., pers.)
vivar	vivre (v.)
vivator	viveur
vocabulario	vocabulaire
vocal	voyelle
voce	voix
vol	vol (d'oiseau, etc.)
volante	volant (a.)
volante	volant (s., d'auto)
volar	voler (en l'air)
volar	vouloir (v.)
voletar	voleter
volte	fois
volume	volume
voluntá	volonté
voluntá	vouloir (s.)
voluntari	volontaire (a.)
voluntarimente	de bon gré
voluntieri	volontiers
voluptá	volupté
voluptuose	voluptueux
volvar	voûter
volve	voûte
vomitar	vomir
vomite	vomissement
vorace	vorace
voracitá	voracité
vos	vous (accusatif)
vos, a vos	vous (datif)
votacion	scrutin
votacion	votation
votacion	vote (votation)
votar	voter
vote	voeu (vote)
vote	voix (vote)
vote	vote
voto	voeu (promesse)
votre	vos
votre	votre
votre	vôtre
vu	vous
vulcan	volcan
vulgari	vulgaire
vulgaritá	vulgarité
vulner	blessure
vulnerable	vulnérable
vulnerar	blesser
vulpe	renard
vultur	vautour
xilofon	xylophone
yacte	yacht
yer	hier
yo	je
yo	moi
yo va partar	je vais partir
yo vavi partar	j'allais partir
yugoslave	yougoslave
Yugoslavia	Yougoslavie
zapate	soulier
zapatero	cordonnier
zapatur	chaussure
zar	tsar
zon	zone
zoología	zoologie
zoologique	zoologique
